,name,price
0,Telefon Nokia 2660 DS LUSH GREEN (fənər + radio),179.99
1,Smartfon Xiaomi 13T 12GB/256GB MEADOW GREEN,"1259,99"
2,Smartfon Apple iPhone 15 Pro 256Gb Black Titanium,"3389,99"
3,Smartfon Samsung Galaxy S24 8GB/256 GB BLACK (S921),"1949,99"
4,Smartfon Apple iPhone 15 Plus 128Gb Blue,"2699,99"
5,Smartfon Samsung Galaxy S24 Ultra 12GB/256GB TITANIUM VIOLET (S928),"2779,99"
6,Smartfon Samsung Galaxy A54 8GB/256GB Violet (A546),"849,99"
7,Smartfon Motorola Razr 40 Ultra 8GB/256GB Infinite Black,"2399,99"
8,Smartfon Apple iPhone 15 Pro Max 256Gb Blue Titanium,"3659,99"
9,Smartfon Motorola G13 4GB/128GB Matte Charcoal,"249,99"
10,Smartfon Infinix Zero 30 12GB/256GB 5G GOLDEN HOUR,"719,99"
11,Smartfon Samsung Galaxy A14 4GB/128GB Green (A145),"329,99"
12,Smartfon Honor X5 Plus 4GB/64GB Cyan Lake,"239,99"
13,Smartfon Xiaomi Redmi Note 12 6GB/128GB ONYX GRAY NFC,"379,99"
14,Smartfon Samsung Galaxy Z Fold 5 12GB/256GB ICY BLUE (F946),"3499,99"
15,Smartfon Apple iPhone 15 128Gb Black,"2399,99"
16,Smartfon Infinix Hot 40 8GB/256GB STARLIT BLACK,"389,99"
17,Smartfon Infinix Smart 8 4GB/128GB GOLD,"219,99"
18,Smartfon Infinix Smart 8 4GB/128GB WHITE,"219,99"
19,Smartfon HONOR X9B 12GB/256GB Midnight Black,"749,99"
20,Smartfon Infinix Hot 30 8GB/256GB NFC SURFING GREEN,"329,99"
21,Smartfon Infinix Smart 8 4GB/128GB GREEN,"219,99"
22,Smartfon Samsung Galaxy S22 8GB/128GB NFC Phantom Black (S901),"1349,99"
23,Smartfon Infinix Hot 40i 8GB/128GB NFC GOLD,"279,99"
24,Smartfon Infinix Hot 40i 4GB/128GB NFC BLUE,"269,99"
25,Smartfon Infinix Hot 30 Play 8GB/128GB BORA PURPLE,"279,99"
26,Smartfon HONOR X7B 8GB/128GB Flowing Silver,"399,99"
27,Smartfon Infinix Hot 30i 4GB/128GB Diamond White,"219,99"
28,Smartfon Infinix Hot 40i 4GB/128GB NFC GOLD,"269,99"
29,Smartfon Infinix SMART 7HD 2GB/64GB SILK BLUE,"169,99"
30,Smartfon HONOR X7B 8GB/128GB Midnight Black,"399,99"
31,Smartfon Samsung Galaxy A14 4GB/64GB Silver (A145),"279,99"
32,Smartfon Tecno Spark 10C 4GB/128GB MAGIC SCIN BLUE,"209,99"
33,Smartfon Infinix Hot 40i 4GB/128GB NFC STARLIT BLACK,"269,99"
34,Smartfon Infinix Zero 30 8GB/256GB MISTY GREEN,"549,99"
35,Telefon NOKIA 130 DS LIGHT GOLD (2023),79.99
36,Smartfon Xiaomi Redmi 13C 4GB/128GB NFC NAVY BLUE,"289,99"
37,Smartfon Xiaomi Redmi 13C 8GB/256GB NFC MIDNIGHT BLACK,"339,99"
38,Telefon Nokia 110 DS Azgeua Charcoal 2023,72.99
39,Smartfon Infinix Hot 40 8GB/256GB HORIZON GOLD,"389,99"
40,Smartfon Infinix Hot 40 8GB/256GB PALM BLUE,"389,99"
41,Telefon Nokia 105 DS Azgeua Cyan 2023,59.99
42,Smartfon Infinix Hot 40i 8GB/128GB NFC STARLIT BLACK,"279,99"
43,Smartfon Xiaomi Redmi 13C 4GB/128GB NFC MIDNIGHT BLACK,"289,99"
44,Smartfon Motorola Moto G84 5G 12GB/256GB Marshmallow Blue,"579,99"
45,Smartfon Infinix Zero 30 12GB/256GB 5G ROME GREEN,"719,99"
46,Telefon Energizer E280S Black,"129,99"
47,Smartfon HONOR X7B 8GB/128GB Emerald Green,"399,99"
48,Smartfon Samsung Galaxy A05 4GB/64GB SILVER (A055),"239,99"
49,Smartfon HUAWEI nova 11 Pro 8GB/256GB BLACK,"929,99"
50,Smartfon Samsung Galaxy A05s 4GB/64GB BLACK (A057),"299,99"
51,Smartfon Samsung Galaxy A05s 4GB/128GB SILVER (A057),"339,99"
52,Smartfon Apple iPhone 15 Pro 128Gb Natural Titanium,"3089,99"
53,Smartfon Samsung Galaxy A05 4GB/128GB SILVER (A055),"279,99"
54,Smartfon Tecno Pova 5 8GB/256GB MECHA BLACK,"459,99"
55,Smartfon Samsung Galaxy A05s 4GB/64GB SILVER (A057),"299,99"
56,Smartfon HUAWEI nova 11 8GB/256GB GREEN,"759,99"
57,Smartfon Samsung Galaxy A05s 4GB/128GB LIGHT VIOLET (A057),"339,99"
58,Smartfon Samsung Galaxy A05 4GB/64GB Light Green (A055),"239,99"
59,Smartfon Samsung Galaxy A05s 4GB/128GB BLACK (A057),"339,99"
60,Smartfon Infinix Hot 40i 8GB/128GB NFC PALM BLUE,"279,99"
61,Smartfon Samsung Galaxy A05 4GB/128GB BLACK (A055),"279,99"
62,Smartfon Infinix Zero 30 12GB/256GB 5G FANTASY PURPLE,"719,99"
63,Smartfon Samsung Galaxy A05 4GB/128GB Light Green (A055),"279,99"
64,Smartfon Samsung Galaxy A24 6GB/128GB BLACK (A245),"399,99"
65,Smartfon HUAWEI nova 11 8GB/256GB GOLD,"759,99"
66,Smartfon Samsung Galaxy A05 4GB/64GB BLACK (A055),"239,99"
67,Smartfon Samsung Galaxy A05s 4GB/64GB LIGHT VIOLET (A057),"299,99"
68,Telefon NOKIA 110 DS BLACK 2023 (fənər + radio),79.99
69,Telefon NOKIA 150 DS BLACK (2023),89.99
70,Smartfon Motorola Razr 40 Ultra 8GB/256GB Viva Magenta,"2399,99"
71,Smartfon HUAWEI nova 11 8GB/256GB BLACK,"759,99"
72,Smartfon HUAWEI nova 11 Pro 8GB/256GB GREEN,"929,99"
73,Smartfon Tecno Pova 5 8GB/256GB AMBER GOLD,"459,99"
74,Smartfon Xiaomi 13T PRO 12GB/512GB ALPINE BLUE,"1619,99"
75,Smartfon Samsung Galaxy S24 Plus 12GB/512 GB ONYX BLACK (S926),"2459,99"
76,Smartfon Motorola G13 4GB/128GB Lavender Blue,"249,99"
77,Smartfon Xiaomi Redmi Note 13 Pro 8GB/256GB LAVANDER PURPLE NFC,"719,99"
78,Smartfon Xiaomi 13T PRO 12GB/512GB MEADOW GREEN,"1619,99"
79,Telefon Nokia 105 DS Charcoal,59.99
80,Smartfon Xiaomi Redmi Note 13 Pro 8GB/256GB MIDNIGHT BLACK NFC,"719,99"
81,Smartfon Xiaomi Redmi 12 8GB/256GB MIDNIGHT BLACK NFC,"389,99"
82,Smartfon Xiaomi Redmi 12 8GB/256GB SKY BLUE NFC,"389,99"
83,Smartfon Xiaomi Redmi Note 13 6GB/128GB MIDNIGHT BLACK NFC,"429,99"
84,Smartfon Xiaomi Redmi 12 8GB/256GB POLAR SILVER NFC,"389,99"
85,Smartfon Samsung Galaxy S24 Plus 12GB/256 GB AMBER YELLOW (S926),"2179,99"
86,Smartfon Samsung Galaxy A15 4GB/128GB BLUE (A155),"369,99"
87,Smartfon Samsung Galaxy A04s 3GB/32GB COPPER (A047),"229,99"
88,Smartfon Xiaomi Redmi Note 13 8GB/256GB MINT GREEN NFC,"499,99"
89,Smartfon Xiaomi Redmi Note 13 8GB/256GB ICE BLUE NFC,"499,99"
90,Smartfon Samsung Galaxy A15 4GB/128GB DARK BLUE (A155),"369,99"
91,Smartfon Samsung Galaxy A25 8GB/256GB DARK BLUE (A256),"649,99"
92,Smartfon Xiaomi Redmi Note 13 Pro 12GB/512GB FOREST GREEN NFC,"899,99"
93,Smartfon Samsung Galaxy S24 Ultra 12GB/512GB TITANIUM BLACK (S928),"3059,99"
94,Smartfon Xiaomi Redmi Note 13 Pro Plus 5G 8GB/256GB AURORA PURPLE NFC,"1029,99"
95,Smartfon Apple iPhone 15 Pro Max 512Gb Blue Titanium,"4249,99"
96,Smartfon Xiaomi Redmi Note 13 Pro Plus 5G 12GB/512GB AURORA PURPLE NFC,"1169,99"
97,Smartfon Xiaomi Redmi Note 13 Pro Plus 5G 12GB/512GB MOONLIGHT WHITE NFC,"1169,99"
98,Smartfon Samsung Galaxy S24 Plus 12GB/256 GB COBALT VIOLET (S926),"2179,99"
99,Smartfon Apple iPhone 15 Pro Max 512Gb Black Titanium,"4249,99"
